source_type,source_id,target_type,target_id,relationships,description
Software,S0334,Technique,T1071.001,uses,Subject can use HTTP for C2 communications.
Group,G0079,Technique,T1059.001,uses,Subject leveraged PowerShell to download and execute additional scripts for execution.
Group,G0022,Technique,T1104,uses,"An Subject downloader first establishes a SOCKS5 connection to 192.157.198Subject103 using TCP port 1913; once the server response is verified, it then requests a connection to 192.184.60Subject229 on TCP port 81."
Software,S0265,Technique,T1113,uses,Subject captures screenshots of the victim’s screen.
Software,S0268,Technique,T1057,uses,Subject can obtain a list of running processes on the victim’s machine.
Software,S0256,Technique,T1027,uses,Subject’s installer is obfuscated with a custom crypter to obfuscate the installer.
Group,G0065,Technique,T1566.001,uses,"Subject has sent spearphishing emails with malicious attachments, including .rtf, .doc, and .xls files."
Software,S0243,Technique,T1059.003,uses,Subject makes modifications to open-source scripts from GitHub and executes them on the victim’s machine.
Software,S0201,Technique,T1071.002,uses,Subject can communicate over FTP.
Software,S0236,Technique,T1082,uses,"Subject collects OS version information such as registered owner details, manufacturer details, processor type, available storage, installed patches, hostname, version info, system date, and other system information by using the commands object157, object158, object159, object160, object161, and object162."
Group,G0027,Technique,T1003.004,uses,Subject actors have used Subject to dump credentials.
Group,G0027,Technique,T1003.004,uses,They have also dumped credentials from domain controllers.
Software,S0034,Technique,T1041,uses,Subject is capable of reading files over the C2 channel.
Group,G0070,Technique,T1218.001,uses,Subject leveraged a compiled HTML file that contained a command to download and run an executable.
Software,S0281,Technique,T1547.011,uses,Subject persists via a plist login item.
Group,G0075,Technique,T1059.003,uses,Subject has used cmd.exe to execute commmands.
Software,S0093,Technique,T1033,uses,Subject collects the current username from the victim.
Software,S0038,Technique,T1001.002,uses,"When the Subject command and control is operating over HTTP or HTTPS, Duqu uploads data to its controller by appending it to a blank JPG file."
Group,G0059,Technique,T1027,uses,"Subject malware has used base64-encoded commands and files, and has also encrypted embedded strings with AES."
Software,S0036,Technique,T1025,uses,Subject searches for interesting files on removable media and copies them to a staging area.
Software,S0036,Technique,T1025,uses,The default file types copied would include data copied to the drive by Subject.
Software,S0238,Technique,T1005,uses,Subject searches the local system and gathers data.
Software,S0254,Technique,T1057,uses,Subject performs the object163 command to list running processes.
Software,S0050,Technique,T1573.001,uses,Subject contains a custom version of the RC4 algorithm that includes a programming error.
Software,S0236,Technique,T1018,uses,Subject collects a list of available servers with the command object164.
Software,S0249,Technique,T1070.004,uses,"Subject deletes one of its files, 2.hwp, from the endpoint after establishing persistence."
Software,S0254,Technique,T1548.002,uses,An older variant of Subject performs UAC bypass.
Software,S0258,Technique,T1560.003,uses,Subject encrypts files with XOR before sending them back to the C2 server.
Software,S0152,Technique,T1547.001,uses,Subject adds a Registry Run key for ctfmon.exe to establish persistence.
Software,S0046,Technique,T1547.001,uses,One persistence mechanism used by Subject is to set itself to be executed at system startup by adding a Registry value under one of the following Registry keys: <br>object165 <br>object166 <br>object167 <br>object168
Software,S0048,Technique,T1082,uses,Subject gathers system configuration information.
Software,S0194,Technique,T1087.001,uses,Subject's object169 Privesc-PowerUp module can enumerate all SIDs associated with its current token.
Software,S0031,Technique,T1547.001,uses,Subject achieves persistence by creating a shortcut to itself in the CSIDL_STARTUP directory.
Group,G0002,Technique,T1027.001,uses,Subject has been known to employ binary padding.
Software,S0265,Technique,T1057,uses,Subject obtains a list of running processes through WMI querying and the object170 command.
Group,G0049,Technique,T1082,uses,Subject has run object171 and object172 on a victim.
Software,S0269,Technique,T1016,uses,Subject gathers the current domain the victim system belongs to.
Software,S0125,Technique,T1046,uses,Subject has a plugin that can perform ARP scanning as well as port scanning.
Software,S0086,Technique,T1560.002,uses,The Subject backdoor compresses communications using the standard Zlib compression library.
Group,G0016,Technique,T1090.004,uses,Subject has used the meek domain fronting plugin for Tor to hide the destination of C2 traffic.
Software,S0256,Technique,T1016,uses,Subject uses the object173 command.
Software,S0277,Technique,T1113,uses,Subject takes screenshots of the user's desktop.
Software,S0038,Technique,T1056.001,uses,Subject can track key presses with a keylogger module.
Software,S0208,Technique,T1083,uses,Subject creates a backdoor through which remote attackers can retrieve lists of files.
Software,S0204,Technique,T1543.003,uses,Subject installs a service pointing to a malicious DLL dropped to disk.
Software,S0018,Technique,T1057,uses,Subject may gather a list of running processes by running object174.
Software,S0128,Technique,T1005,uses,"When it first starts, Subject crawls the victim's local drives and collects documents with the following extensions: .doc, .docx, .pdf, .ppt, .pptx, and .txt."
Group,G0045,Technique,T1140,uses,Subject has used Subject in a macro to decode base64-encoded content contained in a dropper document attached to an email.
Group,G0045,Technique,T1140,uses,The group has also used object175 to decode files on the victim’s machine when dropping Subject.
Group,G0040,Technique,T1027.002,uses,A Subject payload was packed with UPX.
Software,S0039,Technique,T1021.002,uses,Lateral movement can be done with Subject through object176 commands to connect to the on remote systems.
Software,S0023,Technique,T1059,uses,Subject is capable of performing remote command execution.
Software,S0274,Technique,T1074.001,uses,Subject uses a hidden directory named .calisto to store data from the victim’s machine before exfiltration.
Group,G0007,Technique,T1218.011,uses,Subject executed Subject by using rundll32 commands such as object177.
Group,G0007,Technique,T1218.011,uses,Subject also executed a .dll for a first stage dropper using rundll32.exe.
Group,G0007,Technique,T1218.011,uses,An Subject loader Trojan saved a batch script that uses rundll32 to execute a DLL payload.
Group,G0047,Technique,T1071.001,uses,A Subject file stealer can communicate over HTTP for C2.
Software,S0127,Technique,T1055.012,uses,Subject has been seen loaded into msiexec.exe through process hollowing to hide its execution.
Software,S0187,Technique,T1003.001,uses,Subject leverages Subject and Subject to steal credentials.
Software,S0279,Technique,T1056.001,uses,Subject uses a keylogger to capture keystrokes.
Software,S0269,Technique,T1059.005,uses,Subject uses VBScripts.
Software,S0045,Technique,T1041,uses,Subject exfiltrates data over the same channel used for C2.
Software,S0223,Technique,T1559.002,uses,Subject can use DDE to execute additional payloads on compromised hosts.
Software,S0044,Technique,T1218.011,uses,Subject is executed using rundll32.exe.
Software,S0118,Technique,T1543.003,uses,Subject can create a new service named msamger .
Software,S0229,Technique,T1059.003,uses,Subject can execute shell commands.
Software,S0229,Technique,T1059.003,uses,Subject can execute commands with JavaScript.
Software,S0081,Technique,T1082,uses,Subject executes object178 after initial communication is made to the remote server.
Software,S0226,Technique,T1140,uses,Subject deobfuscates its code.
Software,S0160,Technique,T1140,uses,Subject has been used to decode binaries hidden inside certificate files as Base64 information.
Software,S0139,Technique,T1547.001,uses,Subject achieves persistence by using various Registry Run keys.
Group,G0007,Technique,T1071.003,uses,"Subject used SMTP as a communication channel in various implants, initially using self-registered Google Mail accounts and later compromised email servers of its victims."
Software,S0218,Technique,T1105,uses,Subject downloads additional payloads.
Software,S0008,Technique,T1003.002,uses,Subject can dump Windows password hashes from the SAM.
Software,S0151,Technique,T1082,uses,"Subject can obtain information about the OS, processor, and BIOS."
Software,S0260,Technique,T1548.002,uses,Subject can use fileless UAC bypass and create an elevated COM object to escalate privileges.
Software,S0085,Technique,T1132.001,uses,Subject uses Base64 encoding for C2 traffic.
Software,S0162,Technique,T1573.001,uses,The Subject C2 channel uses an 11-byte XOR algorithm to hide data.
Software,S0263,Technique,T1204.002,uses,A Word document delivering Subject prompts the user to enable macro execution.
Software,S0200,Technique,T1573.001,uses,Subject encrypts C2 data with AES256 in ECB mode.
Group,G0060,Technique,T1124,uses,Subject has used object179 to check the local time on a target system.
Software,S0038,Technique,T1021.002,uses,Adversaries can instruct Subject to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials .
Software,S0038,Technique,T1021.002,uses,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware.
Group,G0046,Technique,T1566.001,uses,Subject sent spearphishing emails with either malicious Microsoft Documents or RTF files attached.
Software,S0265,Technique,T1082,uses,Subject gathers information on the system and local drives.
Software,S0031,Technique,T1082,uses,"During its initial execution, Subject extracts operating system information from the infected host."
Software,S0125,Technique,T1048.003,uses,"Subject can exfiltrate data via a DNS tunnel or email, separately from its C2 channel."
Software,S0157,Technique,T1010,uses,Subject is capable of enumerating application windows.
Software,S0077,Technique,T1059.004,uses,Subject has the capability to create a reverse shell on victims.
Software,S0230,Technique,T1548.002,uses,Many Subject samples can perform UAC bypass by using eventvwr.exe to execute a malicious file.
Software,S0072,Technique,T1071.001,uses,Subject uses incoming HTTP requests with a username keyword and commands and handles them as instructions to perform actions.
Software,S0044,Technique,T1113,uses,"A Subject variant takes screenshots by simulating the user pressing the ""Take Screenshot"" key , accessing the screenshot saved in the clipboard, and converting it to a JPG image."
Software,S0148,Technique,T1547.001,uses,"Subject tries to add a Registry Run key under the name ""Windows Update"" to establish persistence."
Software,S0031,Technique,T1090.001,uses,"The ""ZJ"" variant of Subject allows ""ZJ link"" infections with Internet access to relay traffic from ""ZJ listen"" to a command server."
Software,S0151,Technique,T1113,uses,Subject can obtain screenshots from the victim.
Software,S0281,Technique,T1056.002,uses,Subject prompts the user for credentials.
Software,S0018,Technique,T1049,uses,Subject may use object180 to display active network connections.
Software,S0260,Technique,T1140,uses,"Subject can decrypt, unpack and load a DLL from its resources, or from blobs encrypted with Data Protection API, two-key triple DES, and variations of the XOR cipher."
Software,S0148,Technique,T1082,uses,"Subject can obtain the computer name, OS version, and default language identifier."
Software,S0259,Technique,T1059.003,uses,Subject launches a shell to execute commands on the victim’s machine.
Software,S0082,Technique,T1082,uses,"Subject has the capability to execute ver, systeminfo, and gpresult commands."
Software,S0219,Technique,T1082,uses,Subject can gather information about the host.
Software,S0218,Technique,T1082,uses,Subject collects and sends system information to its C2.
Software,S0044,Technique,T1053.005,uses,Subject has registered itself as a scheduled task to run each time the current user logs in.
Group,G0037,Technique,T1059,uses,"Subject has used scripting to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files."
Group,G0059,Technique,T1082,uses,Subject malware has used a PowerShell command to check the victim system architecture to determine if it is an x64 machine.
Group,G0059,Technique,T1082,uses,"Other malware has obtained the OS version, UUID, and computer/host name to send to the C2 server."
Software,S0030,Technique,T1114.001,uses,Subject searches recursively for Outlook personal storage tables files within user directories and sends them back to the C2 server.
Software,S0062,Technique,T1083,uses,"Subject scans the victim for files that contain certain keywords and document types including PDF, DOC, DOCX, XLS, and XLSX, from a list that is obtained from the C2 as a text file."
Software,S0062,Technique,T1083,uses,It can also identify logical drives for the infected machine.
Software,S0168,Technique,T1027,uses,Subject logs its actions into files that are encrypted with 3DES.
Software,S0168,Technique,T1027,uses,It also uses RSA to encrypt resources.
Group,G0080,Technique,T1070.004,uses,Subject deleted the DLL dropper from the victim’s machine to cover their tracks.
Software,S0171,Technique,T1518.001,uses,Subject checks for processes associated with anti-virus vendors.
Software,S0203,Technique,T1573.001,uses,Subject C2 traffic is encrypted using bitwise NOT and XOR operations.
Group,G0067,Technique,T1071.001,uses,Subject uses HTTPS to conceal C2 communications.
Group,G0022,Technique,T1049,uses,Subject has a tool that can enumerate current network connections.
Software,S0127,Technique,T1547.001,uses,Subject has been loaded through DLL side-loading of a legitimate Citrix executable that is set to persist through the Registry Run key location object181.
Group,G0027,Technique,T1070.005,uses,"Subject has detached network shares after exfiltrating files, likely to evade detection."
Software,S0036,Technique,T1560.003,uses,Subject employs the same encoding scheme as Subject for data it stages.
Software,S0036,Technique,T1560.003,uses,"Data is compressed with zlib, and bytes are rotated four times before being XOR'ed with 0x23."
Group,G0060,Technique,T1059.003,uses,Subject has used batch scripts and the command-line interface for execution.
Software,S0192,Technique,T1046,uses,Subject has a built-in module for port scanning.
Software,S0203,Technique,T1112,uses,"Subject creates a Registry subkey to register its created service, and can also uninstall itself later by deleting this value."
Software,S0203,Technique,T1112,uses,Subject's backdoor also enables remote attackers to modify and delete subkeys.
Group,G0040,Technique,T1566.001,uses,Subject has used spearphishing with an attachment to deliver files with exploits to initial victims.
Software,S0037,Technique,T1573.001,uses,"Before being appended to image files, Subject commands are encrypted with a key composed of both a hard-coded value and a string contained on that day's tweet."
Software,S0037,Technique,T1573.001,uses,"To decrypt the commands, an investigator would need access to the intended malware sample, the day's tweet, and the image file containing the command."
Group,G0027,Technique,T1016,uses,Subject actors use Subject to discover vulnerable systems.
Software,S0147,Technique,T1070.004,uses,Subject can delete files that may interfere with it executing.
Software,S0147,Technique,T1070.004,uses,It also can delete temporary files and itself after the initial script executes.
Group,G0032,Technique,T1010,uses,Subject malware IndiaIndia obtains and sends to its C2 server the title of the window for each running process.
Group,G0032,Technique,T1010,uses,The KilaAlfa keylogger also reports the title of the window in the foreground.
Software,S0084,Technique,T1095,uses,Subject network traffic can communicate over a raw socket.
Group,G0012,Technique,T1056.001,uses,Subject has used a keylogger.
Software,S0260,Technique,T1083,uses,Subject can list information about files in a directory and recently opened or used documents.
Software,S0260,Technique,T1083,uses,Subject can also search for specific files by supplied file mask.
Group,G0074,Technique,T1016,uses,"Subject used batch scripts to enumerate network information, including information about trusts, zones, and the domain."
Software,S0220,Technique,T1059.004,uses,"Subject provides a reverse shell connection on 8338/TCP, encrypted via AES."
Software,S0171,Technique,T1016,uses,Subject collects the victim LAN IP address and sends it to the C2 server.
Software,S0128,Technique,T1547.001,uses,Subject installs a registry Run key to establish persistence.
Group,G0016,Technique,T1070.004,uses,"Subject routinely removed their tools, including custom backdoors, once remote access was achieved."
Group,G0016,Technique,T1070.004,uses,Subject has also used Subject to remove artifacts from victims.
Software,S0132,Technique,T1080,uses,Subject has functionality to copy itself to network shares.
Software,S0259,Technique,T1070.004,uses,Subject has a command to delete files.
Software,S0238,Technique,T1569.002,uses,Subject registers itself as a service on the victim’s machine to run as a standalone process.
Group,G0009,Technique,T1057,uses,Subject uses the Microsoft Subject utility to list processes running on systems.
Group,G0050,Technique,T1071.001,uses,Subject has used JavaScript that communicates over HTTP or HTTPS to attacker controlled domains to download additional frameworks.
Group,G0050,Technique,T1071.001,uses,The group has also used downloaded encrypted payloads over HTTP.
Software,S0260,Technique,T1036.005,uses,"Subject has disguised its droppers as legitimate software or documents, matching their original names and locations, and saved its files as mpr.dll in the Windows folder."
Software,S0070,Technique,T1027,uses,Subject's code may be obfuscated through structured exception handling and return-oriented programming.
Software,S0068,Technique,T1573.001,uses,"Subject encrypts C2 content with XOR using a single byte, 0x12."
Software,S0034,Technique,T1095,uses,"If Subject does not detect a proxy configured on the infected machine, it will send beacons via UDP/6000."
Software,S0034,Technique,T1095,uses,"Also, after retrieving a C2 IP address and Port Number, Subject will initiate a TCP connection to this socket."
Software,S0034,Technique,T1095,uses,The ensuing connection is a plaintext C2 channel in which commands are specified by DWORDs.
Software,S0081,Technique,T1218.011,uses,"After copying itself to a DLL file, a variant of Subject calls the DLL file using rundll32.exe."
Software,S0198,Technique,T1056.001,uses,Subject can perform keylogging.
Group,G0049,Technique,T1087.002,uses,"Subject has run object182, object183, object184, and object185 to get account listings on a victim."
Group,G0022,Technique,T1041,uses,Subject has a tool that exfiltrates data over the C2 channel.
Software,S0069,Technique,T1070.004,uses,Subject has the capability to delete files.
Group,G0004,Technique,T1213.002,uses,Subject used a SharePoint enumeration and data dumping tool known as spwebmember.
Group,G0060,Technique,T1203,uses,"Subject has exploited Microsoft Office vulnerabilities CVE-2014-4114, CVE-2018-0802, and CVE-2018-0798 for execution."
Software,S0265,Technique,T1016,uses,Subject gathers information about network adapters.
Group,G0009,Technique,T1546.008,uses,Subject has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.
Software,S0192,Technique,T1557.001,uses,Subject can sniff plaintext network credentials and use NBNS Spoofing to poison name services.
Group,G0077,Technique,T1114.002,uses,Subject used a tool called MailSniper to search through the Exchange server mailboxes for keywords.
Software,S0244,Technique,T1573.001,uses,Subject encrypts command and control communications with RC4.
Software,S0021,Technique,T1056.001,uses,Subject is capable of logging keystrokes.
Software,S0238,Technique,T1057,uses,Subject lists processes running on the system.
Software,S0074,Technique,T1027,uses,Subject uses single-byte XOR obfuscation to obfuscate many of its files.
Group,G0078,Technique,T1140,uses,Subject malware can decode contents from a payload that was Base64 encoded and write the contents to a file.
Group,G0007,Technique,T1059.001,uses,Subject downloads and executes PowerShell scripts and performs PowerShell commands.
Software,S0161,Technique,T1082,uses,Subject contains the getInstalledAPP function to run object186 to gather what applications are installed.
Software,S0228,Technique,T1033,uses,Subject collects the username from the victim.
Software,S0238,Technique,T1059.003,uses,"Subject executes a binary on the system and logs the results into a temp file by using: <code>cmd.exe /c ""<file_path> > %temp%\PM* .tmp 2>&1""</code>."
Group,G0074,Technique,T1070.004,uses,"Subject deleted many of its files used during operations as part of cleanup, including removing applications and deleting screenshots."
Group,G0061,Technique,T1047,uses,Subject's malicious spearphishing payloads use WMI to launch malware and spawn cmd.exe execution.
Group,G0061,Technique,T1047,uses,Subject has also used WMIC during and post compromise cleanup activities.
Group,G0049,Technique,T1110,uses,Subject has used brute force techniques to obtain credentials.
Software,S0168,Technique,T1071.001,uses,Subject communicates with its C2 servers over HTTP.
Software,S0155,Technique,T1070.004,uses,Subject is capable of file deletion along with other file system interaction.
Software,S0192,Technique,T1114.001,uses,Subject can interact with a victim’s Outlook session and look through folders and emails.
Software,S0113,Technique,T1132.001,uses,Subject encodes C2 traffic with Base64.
Software,S0053,Technique,T1027.002,uses,Subject has been packed with the UPX packer.
Software,S0148,Technique,T1573.001,uses,Subject encrypts C2 traffic with a custom RC4 variant.
Group,G0072,Technique,T1027,uses,Subject drops files with base64-encoded data.
Software,S0073,Technique,T1505.003,uses,Subject is a Web shell.
Software,S0073,Technique,T1505.003,uses,The ASPXTool version used by Subject has been deployed to accessible servers running Internet Information Services .
Software,S0223,Technique,T1082,uses,Subject can retrieve OS name/architecture and computer/domain name information from compromised hosts.
Software,S0263,Technique,T1059.005,uses,Subject has used a malicious Word document for delivery with VBA macros for execution.
Software,S0236,Technique,T1049,uses,Subject collects a list of active and listening connections by using the command object187 as well as a list of available network mappings with object188.
Software,S0009,Technique,T1573.001,uses,Subject performs XOR encryption.
Software,S0031,Technique,T1012,uses,Subject is capable of enumerating and making modifications to an infected system's Registry.
Software,S0212,Technique,T1560.001,uses,"Subject has created password-protected RAR, WinImage, and zip archives to be exfiltrated."
Group,G0062,Technique,T1204.002,uses,Subject has attempted to get victims to open malicious Microsoft Word attachment sent via spearphishing.
Software,S0125,Technique,T1036.005,uses,"The Subject loader implements itself with the name Security Support Provider, a legitimate Windows function."
Software,S0125,Technique,T1036.005,uses,"Various Subject .exe files mimic legitimate file names used by Microsoft, Symantec, Kaspersky, Hewlett-Packard, and VMWare."
Software,S0125,Technique,T1036.005,uses,Subject also disguised malicious modules using similar filenames as custom network encryption software on victims.
Software,S0134,Technique,T1001.001,uses,"Subject inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them."
Software,S0083,Technique,T1105,uses,Subject is capable of downloading files from the C2.
Software,S0241,Technique,T1018,uses,Subject runs the object189 and object190 commands.
Group,G0077,Technique,T1059.007,uses,Subject infected victims using JavaScript code.
Software,S0237,Technique,T1033,uses,Subject collects the victim username along with other account information .
Group,G0006,Technique,T1114.001,uses,"Subject uses two utilities, GETMAIL and MAPIGET, to steal email."
Group,G0006,Technique,T1114.001,uses,GETMAIL extracts emails from archived Outlook .pst files.
Software,S0266,Technique,T1007,uses,Subject collects a list of install programs and services on the system’s machine.
Software,S0045,Technique,T1573.001,uses,A variant of Subject encrypts some C2 with 3DES.
Software,S0258,Technique,T1140,uses,Subject decodes Base64 strings and decrypts strings using a custom XOR algorithm.
Software,S0274,Technique,T1217,uses,Subject collects information on bookmarks from Google Chrome.
Software,S0180,Technique,T1573.002,uses,Some Subject variants use SSL to encrypt C2 communications.
Group,G0067,Technique,T1561.002,uses,Subject has access to destructive malware that is capable of overwriting a machine's Master Boot Record .
Software,S0240,Technique,T1041,uses,Subject sends collected files back over same C2 channel.
Software,S0217,Technique,T1113,uses,Subject can capture screenshots.
Software,S0260,Technique,T1112,uses,"Subject has a command to create, set, copy, or delete a specified Registry key or value."
Software,S0276,Technique,T1548.001,uses,Subject adds the setuid flag to a binary so it can easily elevate in the future.
Software,S0211,Technique,T1005,uses,Subject creates a backdoor through which remote attackers can obtain data from local systems.
Software,S0117,Technique,T1573.002,uses,Subject uses SSL/TLS and RC4 to encrypt traffic.
Group,G0032,Technique,T1003.001,uses,Subject leveraged Subject to extract Windows Credentials of currently logged-in users and steals passwords stored in browsers.
Group,G0032,Technique,T1003.001,uses,Subject has also used a custom version Subject to capture credentials.
Group,G0068,Technique,T1189,uses,Subject has sometimes used drive-by attacks against vulnerable browser plugins.
Group,G0010,Technique,T1082,uses,"Subject surveys a system upon check-in to discover operating system configuration details using the object191, object192, and object193 commands."
Software,S0070,Technique,T1547.001,uses,Subject has established persistence by setting the object194 key value for object195 to the path of the executable.
Software,S0070,Technique,T1547.001,uses,It has also used the Registry entry object196 to establish persistence.
Software,S0034,Technique,T1071.001,uses,Subject will attempt to detect if the infected host is configured to a proxy.
Software,S0034,Technique,T1071.001,uses,"If so, Subject will send beacons via an HTTP POST request."
Software,S0034,Technique,T1071.001,uses,Subject will also use HTTP to download resources that contain an IP address and Port Number pair to connect to for further C2.
Group,G0010,Technique,T1547.004,uses,Subject established persistence by adding a Shell value under the Registry key object197.
Software,S0045,Technique,T1560.003,uses,Subject compresses output data generated by command execution with a custom implementation of the Lempel–Ziv–Welch algorithm.
Software,S0131,Technique,T1083,uses,"Subject searches through the drive containing the OS, then all drive letters C through to Z, for documents matching certain extensions."
Software,S0046,Technique,T1036.003,uses,The Subject dropper has masqueraded a copy of the infected system's rundll32.exe executable that was moved to the malware's install directory and renamed according to a predefined configuration file.
Software,S0260,Technique,T1071.001,uses,Subject uses HTTP for C2 communications.
Software,S0276,Technique,T1071.001,uses,Subject uses HTTPS for command and control.
Software,S0184,Technique,T1053.005,uses,Subject persists through a scheduled task that executes it every minute.
Software,S0056,Technique,T1110.002,uses,Subject uses a list of known credentials gathered through credential dumping to guess passwords to accounts as it spreads throughout a network.
Software,S0125,Technique,T1055.001,uses,Subject can perform DLL injection.
Software,S0034,Technique,T1547.001,uses,"The ""SCOUT"" variant of Subject achieves persistence by adding itself to the object198 Registry key."
Software,S0114,Technique,T1542.003,uses,Subject is a Volume Boot Record bootkit that uses the VBR to maintain persistence.
Group,G0061,Technique,T1003.001,uses,Subject harvests credentials using Invoke-Mimikatz or Windows Credentials Editor .
Software,S0239,Technique,T1140,uses,Subject decodes embedded XOR strings.
Software,S0200,Technique,T1132.001,uses,Subject encodes C2 traffic with base64.
Group,G0022,Technique,T1218.011,uses,Subject has a tool that can run DLLs.
Software,S0050,Technique,T1039,uses,Subject steals user files from network shared drives with file extensions and keywords that match a predefined list.
Software,S0250,Technique,T1059.003,uses,Subject can open an interactive command-shell to perform command line functions on victim machines.
Software,S0250,Technique,T1059.003,uses,Subject performs most of its operations using Windows Script Host and runs arbitrary shellcode .
Group,G0053,Technique,T1074.001,uses,Subject scripts save memory dump data into a specific directory on hosts in the victim environment.
Software,S0137,Technique,T1573.001,uses,Subject C2 messages are encrypted with custom stream ciphers using six-byte or eight-byte keys.
Software,S0168,Technique,T1553.002,uses,"Subject versions are signed with various valid certificates; one was likely faked and issued by Comodo for ""Solid Loop Ltd,"" and another was issued for ""Ultimate Computer Support Ltd."""
Software,S0259,Technique,T1547.001,uses,Some Subject variants establish persistence by modifying the Registry key <code>HKU\<SID>\Software\Microsoft\Windows\CurrentVersion\Run:%appdata%\NeutralApp\NeutralApp.exe</code>.
Software,S0084,Technique,T1071.001,uses,Subject network traffic can communicate over HTTP.
Group,G0032,Technique,T1203,uses,Subject has exploited Adobe Flash vulnerability CVE-2018-4878 for execution.
Software,S0269,Technique,T1059.001,uses,Subject uses PowerShell scripts for execution.
Software,S0212,Technique,T1048.003,uses,Subject has exfiltrated data in HTTP POST headers.
Software,S0042,Technique,T1071.001,uses,Subject command and control occurs via HTTPS over port 443.
Software,S0242,Technique,T1012,uses,Subject enumerates Registry keys associated with event logs.
Software,S0039,Technique,T1069.001,uses,Commands such as object199 and object200 can be used in Subject to gather information about and manipulate groups.
Software,S0260,Technique,T1082,uses,"Subject can gather information on the mapped drives, OS version, computer name, DEP policy, memory size, and system volume serial number."
Software,S0189,Technique,T1055.012,uses,Subject hollows out a newly created process RegASM.exe and injects its payload into the hollowed process.
Software,S0051,Technique,T1102.001,uses,Some Subject components use Twitter to initially obtain the address of a C2 server or as a backup if no hard-coded C2 server responds.
Software,S0216,Technique,T1102.002,uses,Subject has used AOL Instant Messenger for C2.
Software,S0115,Technique,T1057,uses,Subject contains a command to list processes.
Software,S0222,Technique,T1195.002,uses,"Subject was added to a legitimate, signed version 5.33 of the CCleaner software and distributed on CCleaner's distribution site."
Software,S0236,Technique,T1057,uses,Subject collects a list of running services with the command object201.
Group,G0049,Technique,T1048.003,uses,Subject has exfiltrated data over FTP separately from its primary C2 channel over DNS.
Software,S0239,Technique,T1106,uses,Subject creates processes using the Windows API calls: CreateProcessA() and CreateProcessAsUserA().
Software,S0085,Technique,T1036.005,uses,"Subject may save itself as a file named msdtc.exe, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service binary."
Group,G0046,Technique,T1543.003,uses,Subject created new Windows services and added them to the startup directories for persistence.
Software,S0233,Technique,T1053.002,uses,Subject has the capability to schedule remote AT jobs.
Software,S0081,Technique,T1573.001,uses,Subject encrypts exfiltrated data with RC4.
Software,S0223,Technique,T1016,uses,"Subject can retrieve IP, network adapter configuration information, and domain from compromised hosts."
Software,S0264,Technique,T1027.002,uses,Subject uses the SmartAssembly obfuscator to pack an embedded .Net Framework assembly used for C2.
Software,S0263,Technique,T1562.004,uses,Subject can open the Windows Firewall on the victim’s machine to allow incoming connections.
Software,S0127,Technique,T1573.001,uses,Subject uses a custom encryption algorithm on data sent back to the C2 server over HTTP.
Software,S0013,Technique,T1574.002,uses,Subject has used DLL side-loading to evade anti-virus.
Software,S0192,Technique,T1087.001,uses,"Subject uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc."
Software,S0266,Technique,T1082,uses,"Subject gathers the OS version, machine name, CPU type, amount of RAM available, and UEFI/BIOS firmware information from the victim’s machine."
Software,S0052,Technique,T1102.003,uses,Subject uses Twitter as a backup C2.
Software,S0116,Technique,T1548.002,uses,Subject contains many methods for bypassing Windows User Account Control on multiple versions of the operating system.
Software,S0270,Technique,T1518.001,uses,Subject enumerates running processes to search for Wireshark and Windows Sysinternals suite.
Group,G0060,Technique,T1105,uses,"Subject has used various tools to download files, including DGet ."
Software,S0230,Technique,T1543.003,uses,Subject can add a new service to ensure Subject persists on the system when delivered as another payload onto the system.
Software,S0239,Technique,T1057,uses,Subject identifies processes and collects the process ids.
Software,S0224,Technique,T1190,uses,Subject is used to automate SQL injection.
Software,S0172,Technique,T1016,uses,Subject collects the victim's IP address.
Software,S0086,Technique,T1083,uses,Subject has the ability to enumerate files and drives.
Software,S0053,Technique,T1078,uses,Some Subject samples have a module to extract email from Microsoft Exchange servers using compromised credentials.
Software,S0098,Technique,T1560.003,uses,Subject encrypts collected data using a single byte XOR key.
Software,S0032,Technique,T1059,uses,Subject is able to open a remote shell to execute commands.
Group,G0049,Technique,T1566.001,uses,Subject has sent spearphising emails with malicious attachments to potential victims using compromised and/or spoofed email accounts.
Software,S0261,Technique,T1036.004,uses,Subject adds a new service named NetAdapter in an apparent attempt to masquerade as a legitimate service.
Software,S0142,Technique,T1518.001,uses,Subject has the ability to scan for security tools such as firewalls and antivirus tools.
Software,S0268,Technique,T1573.001,uses,Subject variants reported on in 2014 and 2015 used a simple XOR cipher for C2.
Software,S0268,Technique,T1573.001,uses,Some Subject samples encrypt C2 communications with RC4.
Software,S0004,Technique,T1547.009,uses,Subject can create a shortcut in the Windows startup folder for persistence.
Software,S0062,Technique,T1518.001,uses,Subject checks for the existence of anti-virus.
Software,S0192,Technique,T1059.001,uses,Subject has a module for loading and executing PowerShell scripts.
